case_number,source_file_key,docket_numbers,citation,citation_year,citation_seq,case_name,pdf_url,date_argued,date_issued,days_to_decision,term_year,lower_court,lower_court_type,lower_court_judge,case_type,appeal_type,outcome,author,author_display,majority,dissent,concur_separate,not_participating,vote_string,is_unanimous,has_dissent,has_separate_concurrence,topics,rsa_citations,rsa_primary,involves_statutory_interpretation,standard_of_review,summary_paragraph,word_count,opinion_type,parse_version,parse_timestamp,parse_confidence
2021-0597,2021-0597,['2021-0597'],,,,H.T. v. D.M.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-07/20210597.pdf,,2022-06-20,,2022,"Circuit Court (Tenney, J.)",circuit_court,Tenney,family/domestic,standard,affirmed,per_curiam,Per Curiam,4,0,0,2,4-0,True,False,False,"['criminal', 'statutory_interpretation', 'property', 'domestic_violence']","['RSA 173-B:5', 'RSA 627', 'RSA 173-B', 'RSA 173-B:5, I', 'RSA 173-B:1', 'RSA 631:1', 'RSA 631:3', 'RSA 627:4', 'RSA 627:8']",RSA 173-B:5,True,[],,582,case_order,1.0.0,2026-07-16T02:18:50.237517,0.8
2021-0500,2021-0500,['2021-0500'],,,,"Foy Insurance Group, Inc. v. 101 Ocean Blvd., LLC",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-07/20210500.pdf,,2022-06-17,,2022,"Superior Court (Messer, J.)",superior_court,Messer,civil,standard,dismissed,per_curiam,Per Curiam,0,0,0,5,N/A,False,False,False,"['insurance', 'administrative_law', 'civil_procedure', 'statutory_interpretation', 'contract', 'evidence']",['RSA 526:1'],RSA 526:1,True,[],,1392,case_order,1.0.0,2026-07-16T02:18:53.182362,0.8
2021-0375,2021-0375,['2021-0375'],,,,American Express National Bank v. Thiruvalluvan Rajan,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-07/20210375.pdf,,2022-06-17,,2022,,administrative,,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,[],[],,False,[],,94,case_order,1.0.0,2026-07-16T02:18:53.541752,0.8
2020-0082,20200082,['2020-0082'],,,,"Case No. 2020-0082, State of New Hampshire v. Mesfen Rowell",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-07/20200082.pdf,,2022-06-17,,2022,,administrative,,criminal,standard,,per_curiam,Per Curiam,0,0,0,5,N/A,False,False,False,['criminal'],['RSA 159-3'],RSA 159-3,False,"['de_novo', 'clear_error']",,1333,case_order,1.0.0,2026-07-16T02:18:54.064742,0.8
2022-0040,2022-0040,['2022-0040'],,,,M.N. v. B.N.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-07/20220040.pdf,,2022-06-17,,2022,Circuit Court,circuit_court,"Boyle, R.,
approved by Luneau",family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['criminal', 'family_law', 'constitutional', 'property', 'domestic_violence']","['RSA 173-B:5', 'RSA 173-B:5, I', 'RSA 173-B:1, I', 'RSA 546-A:2', 'RSA 173-B:5, IV']",RSA 173-B:5,False,['plain_error'],,1331,case_order,1.0.0,2026-07-16T02:18:56.779463,0.8
2021-0148,2021-0148,['2021-0148'],,,,State of New Hampshire v. Robert Leroux,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210148.pdf,,2022-05-24,,2022,"Circuit Court (Luneau, J.)",circuit_court,Luneau,criminal,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['criminal', 'civil_procedure', 'evidence', 'DWI']","['RSA 263:64', 'RSA 263:64, IV']",RSA 263:64,False,[],,447,case_order,1.0.0,2026-07-16T02:19:00.618806,0.8
2021-0274,2021-0274,['2021-0274'],,,,Andrea Amodeo-Vickery v. Town of Salem,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210274.pdf,,2022-05-20,,2022,Superior Court,superior_court,Messer,criminal,standard,,per_curiam,Per Curiam,0,0,0,5,N/A,False,False,False,"['criminal', 'statutory_interpretation', 'tax']","['RSA 91-A', 'RSA 91-A:8', 'RSA 91-A:4, IV', 'RSA 91-A:4', 'RSA 91-A:7']",RSA 91-A,True,[],,1212,case_order,1.0.0,2026-07-16T02:19:00.956601,0.8
2021-0052,2021-0052,['2021-0052'],,,,State of New Hampshire v. Dennis J. Allen,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-06/20210052.pdf,,2022-05-06,,2022,"Circuit Court (Hall, J.)",circuit_court,Hall,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,2,4-0,True,False,False,"['constitutional', 'employment', 'tort']",['RSA 642:2'],RSA 642:2,False,[],,919,case_order,1.0.0,2026-07-16T02:19:01.452405,0.8
2021-0407,2021-0407,['2021-0407'],,,,"Gary Boyle v. Myra Fowler, DBA L&W Auto Repair",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210407.pdf,,2022-04-28,,2022,Circuit Court,circuit_court,"Ryan, R.,
approved by DeVries",civil,standard,vacated,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,['statutory_interpretation'],[],,True,[],,478,case_order,1.0.0,2026-07-16T02:19:02.058137,0.8
2021-0276,2021-0276,['2021-0276'],,,,In the Matter of Matthew Kamil and Robin Kamil,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210276.pdf,,2022-04-25,,2022,Circuit Court,circuit_court,Lemire,family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['family_law', 'property', 'tax']",[],,False,[],,890,case_order,1.0.0,2026-07-16T02:19:03.022266,0.8
2021-0196,2021-0196,['2021-0196'],,,,"Chase Cutts Brigham Neighborhood Association, Inc. & a. v. City of Portsmouth",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210196.pdf,,2022-04-25,,2022,"Superior Court (Ignatius, J.)",superior_court,Ignatius,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,['property'],"['RSA 677:15, I', 'RSA 674:44, III']","RSA 677:15, I",False,[],,514,case_order,1.0.0,2026-07-16T02:19:05.421574,0.8
2021-0085,2021-0085,"['2021-0085', '2018-0617']",,,,Appeal of Suzanne Fournier & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-04/20210085.pdf,,2022-04-22,,2022,,administrative,,civil,standard,,per_curiam,Per Curiam,1,0,0,4,1-0,True,False,False,"['administrative_law', 'property']","['RSA 541', 'RSA 21-O:14, III', 'RSA 541:13']",RSA 541,False,['de_novo'],,1358,case_order,1.0.0,2026-07-16T02:19:05.692858,0.8
2022-0006,2022-0006,['2022-0006'],,,,T.W. v. J.W.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20220006.pdf,,2022-04-22,,2022,,,,family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['criminal', 'statutory_interpretation', 'domestic_violence']","['RSA 173-B:5', 'RSA 173-B', 'RSA 173-B:1']",RSA 173-B:5,True,[],,621,case_order,1.0.0,2026-07-16T02:19:06.193035,0.8
2021-0031,2021-0031,['2021-0031'],,,,Alfred E. Gagnon v. Town of Pelham,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-04/20210031.pdf,,2022-04-21,,2022,"Superior Court (Temple, J.)",superior_court,Temple,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['statutory_interpretation', 'property']","['RSA 674:41', 'RSA 674:41, I', 'RSA 677:15, V', 'RSA 674:35', 'RSA 676:4, I']",RSA 674:41,True,['de_novo'],,1228,case_order,1.0.0,2026-07-16T02:19:06.823109,0.8
2021-0243,2021-0243,['2021-0423'],,,,State of New Hampshire v. Ernest Justin Blanchette,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-04/20210423.pdf,,2022-04-19,,2022,,administrative,,criminal,standard,,per_curiam,Per Curiam,0,0,0,5,N/A,False,False,False,"['criminal', 'civil_procedure', 'statutory_interpretation']","['RSA 632-A:2, I', 'RSA 625:3']","RSA 632-A:2, I",True,['de_novo'],,1319,case_order,1.0.0,2026-07-16T02:19:09.770019,0.8
2021-0305,2021-0305,['2021-0305'],,,,"In the Matter of Kerryn Hullstrung and Chris Moulton, Jr.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210305.pdf,,2022-04-11,,2022,,,,civil,standard,vacated,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['statutory_interpretation', 'tax']",[],,True,[],,1277,case_order,1.0.0,2026-07-16T02:19:09.977792,0.8
2021-0204,2021-0204,['2021-0204'],,,,Appeal of James Lowry,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210204.pdf,,2022-04-11,,2022,,,,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['insurance', 'administrative_law', 'statutory_interpretation', 'employment']","['RSA 281-A:28', 'RSA 541:13']",RSA 281-A:28,True,['de_novo'],,1219,case_order,1.0.0,2026-07-16T02:19:10.160229,0.8
2021-0143,2021-0143,['2021-0143'],,,,"Gary Volpe, o/b/o the deceased Clara Volpe v. Dennis Volpe & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210143.pdf,,2022-04-08,,2022,"Circuit Court (Cassavechia, R., approved by Moran, J.)",circuit_court,"Cassavechia, R., approved by Moran",civil,standard,dismissed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,['civil_procedure'],[],,False,[],,720,case_order,1.0.0,2026-07-16T02:19:10.478328,0.8
2021-0326,2021-0326,['2021-0326'],,,,James Chaney & a. v. Route 111 Auto Sales,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-05/20210326.pdf,,2022-04-06,,2022,"Circuit Court (Alfano, J.)",circuit_court,Alfano,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,['contract'],['RSA 382-A:2-313'],RSA 382-A:2-313,False,[],,665,case_order,1.0.0,2026-07-16T02:19:10.973458,0.8
2021-0208,2021-0208,['2021-0208'],,,,"Wells Fargo Bank, N.A., as Trustee for Option One Mortgage Loan Trust 2005-5 v. Nature School Foundation, Inc. & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-04/20210208.pdf,,2022-03-23,,2022,"Superior Court (Colburn, J.)",superior_court,Colburn,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,['civil_procedure'],[],,False,[],,210,case_order,1.0.0,2026-07-16T02:19:11.564467,0.8
2021-0418,2021-0418,['2021-0418'],,,,K.T. v. M.K.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-04/20210418.pdf,,2022-03-22,,2022,"Circuit Court (Gleason, J.)",circuit_court,Gleason,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,5,N/A,False,False,False,"['criminal', 'constitutional', 'property', 'domestic_violence', 'tax']","['RSA 633:3-a, III', 'RSA 633:3-a, II']","RSA 633:3-a, III",False,[],,1380,case_order,1.0.0,2026-07-16T02:19:14.864267,0.8
2021-0284,2021-0284,['2021-0284'],,,,Grace Woodham v. Caledonian Record & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-04/20210284.pdf,,2022-03-18,,2022,Circuit Court,circuit_court,"Greenhalgh
and Maloney, JJ., and Ryan, R., approved by Maloney",civil,standard,dismissed,per_curiam,Per Curiam,4,0,0,2,4-0,True,False,False,['civil_procedure'],[],,False,[],,611,case_order,1.0.0,2026-07-16T02:19:15.029715,0.8
2021-0404,2021-0404,['2021-0404'],,,,K.M. v. V.F.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-04/20210404.pdf,,2022-03-18,,2022,"circuit court’s final stalking protective order, see",circuit_court,,family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['criminal', 'property', 'domestic_violence']","['RSA 633:3-a', 'RSA 633:3-a, I', 'RSA 633:3-a, II', 'RSA 173-B:3, I']",RSA 633:3-a,False,[],,1045,case_order,1.0.0,2026-07-16T02:19:15.355722,0.8
2021-0142,2021-0142,['2021-0142'],,,,Thomas S. Wood & a. v. Town of Raymond,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-03/20210142.pdf,,2022-03-16,,2022,"Superior Court (Honigberg, J.)",superior_court,Honigberg,civil,standard,remanded,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'property', 'contract', 'tort']","['RSA 674:41', 'RSA 674:41, I']",RSA 674:41,True,['de_novo'],,921,case_order,1.0.0,2026-07-16T02:19:15.762184,0.8
2021-0527,2021-0527,['2021-0527'],,,,H.F. v. M.Z.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-04/20210527.pdf,,2022-03-15,,2022,"circuit court for the protection of the plaintiff, H.F. We construe the",circuit_court,,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,5,N/A,False,False,False,"['criminal', 'statutory_interpretation', 'constitutional', 'property', 'employment', 'domestic_violence']","['RSA 633:3-a', 'RSA 633:3-a, I', 'RSA 633:3-a, II', 'RSA 633:3-a, III']",RSA 633:3-a,True,[],,1373,case_order,1.0.0,2026-07-16T02:19:16.275165,0.8
2021-0114,2021-0114,['2021-0114'],,,,Ajit Kumar v. SNHS Management Corporation,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-03/20210114.pdf,,2022-03-09,,2022,"Superior Court (Temple, J.)",superior_court,Temple,civil,standard,,per_curiam,Per Curiam,0,0,0,5,N/A,False,False,False,"['civil_procedure', 'property']","['RSA 508:2, I']","RSA 508:2, I",False,['de_novo'],,1448,case_order,1.0.0,2026-07-16T02:19:16.866936,0.8
LD20210012,LD20210012,['2021-0012'],,,,"LD-2021-0012, In the Matter of Robert M. Fojo, Esquire",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-02/LD20210012.pdf,,2022-02-25,,2022,,,,criminal,standard,,per_curiam,Per Curiam,0,0,0,4,N/A,False,False,False,"['criminal', 'statutory_interpretation', 'constitutional']","['RSA 311:8', 'RSA 490:4']",RSA 311:8,True,['de_novo'],,1254,case_order,1.0.0,2026-07-16T02:19:17.118842,0.8
2021-0468,2021-0468,['2021-0468'],,,,American Express National Bank v. Linda Petralia,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-03/20210468.pdf,,2022-02-22,,2022,Superior Court,superior_court,Temple,civil,standard,dismissed,per_curiam,Per Curiam,0,0,0,4,N/A,False,False,False,"['civil_procedure', 'statutory_interpretation', 'contract']",[],,True,['plain_error'],,1595,case_order,1.0.0,2026-07-16T02:19:17.375656,0.8
20190755_20210021,20190755_20210021,"['2019-0755', '2021-0021']",,,,State of New Hampshire v. James Michael Dow,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-03/20190755_20210021.pdf,,2022-02-18,,2022,"Superior Court (Delker, J.)",superior_court,Delker,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,['constitutional'],"['RSA 638:5', 'RSA 637:3']",RSA 638:5,False,[],,796,case_order,1.0.0,2026-07-16T02:19:17.510094,0.8
2021-0232,2021-0232,['2021-0232'],,,,Clayton Alexander & a. v. City of Nashua,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-03/20210232.pdf,,2022-02-18,,2022,"Superior Court (Temple, J.)",superior_court,Temple,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,['property'],[],,False,[],,450,case_order,1.0.0,2026-07-16T02:19:17.748300,0.8
2021-0075,2021-0075,['2021-0075'],,,,In the Matter of Matthew Kostiew and Alejandra Flores,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-02/20210075.pdf,,2022-02-10,,2022,Circuit Court,circuit_court,LeFrancois,family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,['family_law'],"['RSA 461-A:11', 'RSA 458-C:5, I']",RSA 461-A:11,False,[],,676,case_order,1.0.0,2026-07-16T02:19:17.901238,0.8
2021-0250,20210250,['2021-0250'],,,,"AZNH Revocable Trust & a.v. Spinnaker Cove Yacht Club Association, Inc.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-02/20210250.pdf,,2022-02-02,,2022,,administrative,,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'property']",['RSA 498:5-a'],RSA 498:5-a,True,[],,777,case_order,1.0.0,2026-07-16T02:19:18.090242,0.8
2019-0682,2019-0682,['2019-0682'],,,,State of New Hampshire v. Steven Clark,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-02/20190682.pdf,", among other things, that the Superior Court (Wageling, J.) may have",2022-02-01,,2022,"Superior Court (Delker, J.)",superior_court,Delker,criminal,standard,affirmed,per_curiam,Per Curiam,4,0,0,5,4-0,True,False,False,['criminal'],"['RSA 632-A:2', 'RSA 632-A:2, II', 'RSA 629:1', 'RSA 632-A:3, III']",RSA 632-A:2,False,[],,613,case_order,1.0.0,2026-07-16T02:19:18.437636,0.8
2021-0144,2021-0144,['2021-0144'],,,,In the Matter of Genisa Todisco and Joe Clancey,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-02/20210144.pdf,,2022-01-28,,2022,Circuit Court,circuit_court,Alfano,family/domestic,standard,reversed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['family_law', 'employment', 'tax']","['RSA 458-C:7, I']","RSA 458-C:7, I",False,[],,1131,case_order,1.0.0,2026-07-16T02:19:18.944292,0.8
2021-0315,2021-0315,['2021-0315'],,,,American Express National Bank v. Linda A. Petralia,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-02/20210315.pdf,,2022-01-14,,2022,Superior Court,superior_court,Temple,civil,standard,vacated,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['civil_procedure', 'property']",[],,False,[],,345,case_order,1.0.0,2026-07-16T02:19:19.561910,0.8
2021-0272,2021-0272,['2021-0272'],,,,State of New Hampshire v. Brent R. Donley,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-02/20210272.pdf,,2022-01-07,,2022,,,,criminal,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,['criminal'],"['RSA 264:25, I']","RSA 264:25, I",False,[],,328,case_order,1.0.0,2026-07-16T02:19:19.650098,0.8
2023-0283,2023-0283,['2023-0283'],,,,Albert McCarthy v. Macdonald Motors,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2024-01/20230283.pdf,,2023-12-29,,2023,"Circuit Court (Greenhalgh, J.)",circuit_court,Greenhalgh,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,['contract'],[],,False,['clear_error'],,388,case_order,1.0.0,2026-08-03T12:14:01.872219,0.8
2023-0193,2023-0193,['2023-0193'],,,,E.K. v. M.M.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20230193_0.pdf,,2023-12-28,,2023,Circuit Court,circuit_court,Derby,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,"['criminal', 'family_law', 'civil_procedure', 'domestic_violence']","['RSA 173-B:5', 'RSA 173-B:5, I', 'RSA 173-B:1', 'RSA 173-B:1, I', 'RSA 633:3-a, I', 'RSA 173-B:3, VI']",RSA 173-B:5,False,['de_novo'],,1403,case_order,1.0.0,2026-08-03T12:14:02.774615,0.8
2022-0503,2022-0503,['2022-0503'],,,,State of New Hampshire v. Nicholas Nieuwkoop,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20220503.pdf,,2023-12-28,,2023,,,Howard,criminal,standard,,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,['criminal'],"['RSA 632-A:2, I']","RSA 632-A:2, I",False,[],,1471,case_order,1.0.0,2026-08-03T12:14:03.147507,0.8
2022-0584,2022-0584,['2022-0584'],,,,Mary D. Pearce v. Robert Coviello & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2024-01/20220584.pdf,,2023-12-28,,2023,"Superior Court (Ignatius, J.)",superior_court,Ignatius,family/domestic,standard,reversed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,"['family_law', 'civil_procedure', 'property', 'contract']",['RSA 479'],RSA 479,False,[],,741,case_order,1.0.0,2026-08-03T12:14:03.333290,0.8
2022-0660,2022-0660,['2022-0660'],,,,In the Matter of Michael Speight and Amanda Kaelblein,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2024-01/20220660.pdf,,2023-12-26,,2023,,,,family/domestic,standard,dismissed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,"['family_law', 'civil_procedure', 'statutory_interpretation']","['RSA 491:8-a', 'RSA 502-A:27-c', 'RSA 490-F:3', 'RSA 458-A', 'RSA 458-A:12, I', 'RSA 458-A:12', 'RSA 458-A:14, I', 'RSA 458-A:14, II', 'RSA 458-A:1, VII']",RSA 491:8-a,True,['substantial_evidence'],,1144,case_order,1.0.0,2026-08-03T12:14:03.574998,0.8
2023-0109,2023-0109,['2023-0109'],,,,"Kathleen Sylvester v. Woodward’s White Mountain Resort, LLC",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20230109.pdf,,2023-12-20,,2023,Superior Court,superior_court,"St.
Hilaire",civil,standard,,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,"['insurance', 'civil_procedure', 'employment', 'contract', 'tort']","['RSA 281-A:8', 'RSA 281-A:8, I', 'RSA 281-A']",RSA 281-A:8,False,['de_novo'],,1333,case_order,1.0.0,2026-08-03T12:14:03.938041,0.8
2022-0067,2022-0067,['2022-0067'],,,,State of New Hampshire v. Odessa Lemieux,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20220067.pdf,,2023-12-14,,2023,"Superior Court (Kissinger, J.)",superior_court,Kissinger,criminal,standard,affirmed,per_curiam,Per Curiam,4,0,0,2,4-0,True,False,False,[],"['RSA 639:3, I']","RSA 639:3, I",False,['de_novo'],,1315,case_order,1.0.0,2026-08-03T12:14:04.758473,0.8
2022-0042,2022-0042,['2022-0042'],,,,"James G. Boyle, Trustee of the 150 Greenleaf Avenue Realty Trust v. City of Portsmouth",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20220042.pdf,,2023-12-14,,2023,"Superior Court (Honigberg, J.)",superior_court,Honigberg,civil,standard,remanded,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,"['statutory_interpretation', 'property']",['RSA 677:6'],RSA 677:6,True,['de_novo'],,1356,case_order,1.0.0,2026-08-03T12:14:05.107446,0.8
2023-0419,2023-0419,['2023-0419'],,,,Michael Degrasse v. Christine Hart,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2024-01/20230419.pdf,,2023-12-14,,2023,"Circuit Court (McIntyre, J.)",circuit_court,McIntyre,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,"['property', 'contract']",[],,False,[],,441,case_order,1.0.0,2026-08-03T12:14:05.210039,0.8
20220104and20220107,20220104and20220107,"['2022-0104', '2022-0107']",,,,"Roger Pratt & a. v. Agel Corman Realty, Inc. & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20220104and20220107.pdf,,2023-12-13,,2023,"Superior Court (Leonard, J.)",superior_court,Leonard,civil,standard,affirmed,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,"['statutory_interpretation', 'property', 'contract']",[],,True,[],,1403,case_order,1.0.0,2026-08-03T12:14:05.993426,0.8
2022-0587,2022-0587,['2022-0587'],,,,Appeal of New Hampshire Department of Corrections & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20220587.pdf,,2023-12-13,,2023,,,,civil,standard,,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,"['insurance', 'administrative_law', 'employment', 'tort']","['RSA 281-A:54, I', 'RSA 541:13', 'RSA 281-A:2, XIV']","RSA 281-A:54, I",False,[],,1389,case_order,1.0.0,2026-08-03T12:14:06.404088,0.8
2021-0447,2021-0447,['2021-0447'],,,,Appeal of Matthew Graves & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20210447.pdf,,2023-12-13,,2023,,administrative,,civil,standard,,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,"['administrative_law', 'property']","['RSA 541', 'RSA 21-O:14, III', 'RSA 541:13']",RSA 541,False,['de_novo'],,1400,case_order,1.0.0,2026-08-03T12:14:06.769543,0.8
2022-0417,2022-0417,['2022-0417'],,,,In the Matter of Genevieve Snell and Gary Snell,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2024-01/20220417.pdf,,2023-12-12,,2023,,,,family/domestic,standard,affirmed,per_curiam,Per Curiam,3,0,0,2,3-0,True,False,False,"['family_law', 'employment']",[],,False,[],,200,case_order,1.0.0,2026-08-03T12:14:06.832805,0.8
2022-0409,2022-0409,['2022-0409'],,,,State of New Hampshire v. Amy Lee Dansereau,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2024-01/20220409.pdf,,2023-12-11,,2023,,,,criminal,standard,affirmed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,[],[],,False,[],,216,case_order,1.0.0,2026-08-03T12:14:06.899536,0.8
2022-0474,2022-0474,['2022-0474'],,,,State of New Hampshire v. Edward Bou-Nassif,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20220474.pdf,,2023-11-30,,2023,"Circuit Court (Tenney, J.)",circuit_court,Tenney,criminal,standard,affirmed,per_curiam,Per Curiam,3,0,0,2,3-0,True,False,False,"['criminal', 'civil_procedure', 'statutory_interpretation', 'tax']",['RSA 638:3'],RSA 638:3,True,['plain_error'],,653,case_order,1.0.0,2026-08-03T12:14:07.082625,0.8
2022-0579,2022-0579,['2022-0579'],,,,Bjorn Bruckshaw & a. v. Donald Polasko,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20220579.pdf,,2023-11-30,,2023,"Superior Court (Leonard, J.)",superior_court,Leonard,civil,standard,dismissed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,"['property', 'contract', 'tort']","['RSA 540-A', 'RSA 540-A:4', 'RSA 540-A:2']",RSA 540-A,False,[],,1100,case_order,1.0.0,2026-08-03T12:14:07.354366,0.8
2022-0223,2022-0223,['2022-0223'],,,,"Appeal of OL International Holdings, LLC",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-11/20220223olinternational.pdf,,2023-11-29,,2023,,,,civil,standard,,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,"['insurance', 'administrative_law', 'employment']","['RSA 281-A:26', 'RSA 281-A:2, XI', 'RSA 541:13']",RSA 281-A:26,False,[],,1267,case_order,1.0.0,2026-08-03T12:14:07.715635,0.8
2022-0571,2022-0571,['2022-0571'],,,,In the Matter of Keith Colado and Meagan Colado,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2023-12/20220571.pdf,,2023-11-29,,2023,"Circuit Court (Foley, R., approved by Hall, J.), dividing",circuit_court,"Foley, R., approved by Hall",family/domestic,standard,,per_curiam,Per Curiam,0,0,0,5,Unavailable,False,False,False,"['family_law', 'property']","['RSA 458:16-a', 'RSA 458:16-a, II', 'RSA 458:16-']",RSA 458:16-a,False,[],,1517,case_order,1.0.0,2026-08-03T12:14:08.033069,0.8
